# z       Moduli    Error
0.320025 22.0192 0.15495
0.509959 22.84675 0.1182
0.368089 22.0067 0.1243
0.139594 19.7944 0.1038
0.180427 20.54675 0.14915
0.172509 20.22 0.11585
0.272021 21.2356 0.1242
0.348525 22.23255 0.2533
0.479992 22.6131 0.1463
0.320019 21.9169 0.137
0.520003 22.9578 0.1518
0.381009 22.18215 0.1306
0.372031 22.13805 0.26375
0.181617 20.474 0.12575
0.223004 20.75105 0.12225
0.142016 19.8422 0.13225
0.304975 21.68485 0.12015
0.403983 22.12805 0.15365
0.285002 21.43725 0.1358
0.300046 21.5859 0.13495
0.263029 21.2319 0.12955
0.499999 22.9717 0.1963
0.304598 21.64295 0.1129
0.385022 22.28245 0.126
0.197999 20.6442 0.1223
0.089992 18.75805 0.1103
0.476228 22.9261 0.1649
0.330036 21.831 0.11675
0.470043 22.70965 0.15
0.330000 21.7726 0.15595
0.260011 21.3572 0.14225
0.070791 18.15745 0.1192
0.180032 20.426 0.1593
0.336740 21.91315 0.151
0.122027 19.37365 0.11495
0.250037 21.1135 0.14315
0.160006 20.16235 0.167
0.300023 21.99485 0.16045
0.390023 22.11805 0.14095
0.293993 21.4687 0.1649
0.329987 21.6655 0.17245
0.305982 21.6995 0.13305
0.286995 21.46645 0.1395
0.429990 22.4792 0.1471
0.179996 20.481 0.1699
0.189985 20.50025 0.1605
0.250024 21.19025 0.14705
0.410407 22.48095 0.19045
0.241982 20.85675 0.13015
0.337964 21.8791 0.16625
0.070028 18.48435 0.29975
0.346000 21.9593 0.1626
0.330002 21.98705 0.15615
0.054000 17.60185 0.1165
0.421934 22.37855 0.1425
0.106038 19.19495 0.1111
0.285023 21.2265 0.12315
0.325016 21.91925 0.1384
0.334019 21.74575 0.1129
0.290000 21.30595 0.15955
0.439990 22.4238 0.13695
0.241048 21.09055 0.1118
0.460026 22.75035 0.16435
0.119032 19.33475 0.1245
0.544288 23.34415 0.1462
0.411029 22.6089 0.1289
0.269987 21.34225 0.14435
0.051386 17.35275 0.13525
0.412998 22.5817 0.15385
0.074003 18.2355 0.1566
0.320023 22.0816 0.21085
0.420996 22.16135 0.152
0.422023 22.49015 0.2331
0.440015 22.46285 0.19185
0.481622 22.68865 0.17225
0.200995 20.66375 0.13595
0.303025 21.81235 0.1445
0.290995 21.4412 0.13835
0.310004 21.58775 0.1462
0.295015 21.7291 0.123
0.338974 21.88335 0.13905
0.377044 22.21555 0.1463
0.089013 18.72405 0.11685
0.450010 22.6586 0.15475
0.460018 22.8011 0.14725
1.205618 25.73935 0.3352
1.330388 25.6034 0.1484
1.538838 25.9072 0.21065
1.550387 26.00705 0.18565
1.701108 26.0592 0.2832
1.799601 26.2011 0.18795
2.259601 26.877 0.2548
1.914829 26.1609 0.2559
1.301202 25.52015 0.17875
1.341202 25.4652 0.1632
1.021202 24.88235 0.1657
0.736202 23.70605 0.134
1.121202 25.0639 0.1649
1.231202 25.28615 0.19155
1.231202 25.4985 0.17085
0.855202 24.3128 0.21455
1.371202 25.5159 0.1622
0.976402 24.7061 0.13985
0.971202 25.11545 0.26175
0.741202 23.8446 0.12605
1.391202 25.36305 0.20125
1.306202 25.2642 0.235
0.936202 24.2666 0.1658
1.015202 24.85445 0.2291
1.316202 25.54235 0.1987
1.093202 24.63835 0.26405
